"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.5","","","","1"
"2024-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.3","","","","1"
"2024-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.5","","","","1"
"2024-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.9","","","","1"
"2024-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","160.2","","","","1"
"2024-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","160.6","","","","1"
"2024-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","160.8","","","","1"
"2024-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.2","","","","1"
"2024-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.3","","","","1"
"2024-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.3","","","","1"
"2024-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.8","","","","1"
"2024-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","162.0","","","","1"
"2024-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","162.4","","","","1"
"2023-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","187.5","","","","1"
"2024-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","187.5","","","","1"
"2024-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","187.4","","","","1"
"2024-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","187.4","","","","1"
"2024-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","187.3","","","","1"
"2024-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","188.4","","","","1"
"2024-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","189.6","","","","1"
"2024-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","190.1","","","","1"
"2024-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","190.5","","","","1"
"2024-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","191.0","","","","1"
"2024-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","191.6","","","","1"
"2024-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","191.9","","","","1"
"2024-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","188.6","","","","1"
"2023-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","177.8","","","","1"
"2024-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","178.4","","","","1"
"2024-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","179.2","","","","1"
"2024-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","179.9","","","","1"
"2024-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","180.8","","","","1"
"2024-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","181.5","","","","1"
"2024-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","182.1","","","","1"
"2024-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","182.5","","","","1"
"2024-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","183.3","","","","1"
"2024-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","183.5","","","","1"
"2024-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","184.8","","","","1"
"2024-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","185.3","","","","1"
"2024-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","185.8","","","","1"
"2023-12","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.9","","","","1"
"2024-01","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","131.4","","","","1"
"2024-02","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.8","","","","1"
"2024-03","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.1","","","","1"
"2024-04","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.4","","","","1"
"2024-05","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.5","","","","1"
"2024-06","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.8","","","","1"
"2024-07","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","131.5","","","","1"
"2024-08","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.8","","","","1"
"2024-09","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.9","","","","1"
"2024-10","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.9","","","","1"
"2024-11","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.2","","","","1"
"2024-12","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","129.9","","","","1"
"2023-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","97.0","","","","1"
"2024-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.3","","","","1"
"2024-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.1","","","","1"
"2024-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.4","","","","1"
"2024-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.2","","","","1"
"2024-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.7","","","","1"
"2024-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.6","","","","1"
