REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2023,10,3,10,0,03,5,1,6,4,,1,1,1,3,06,08,36,,,,,,,,,,,,,,,,11,,,,,,2,1,1,4,12,2,2,,,,,,,,,2,1,07,,39
2,2023,10,4,35,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,11,,71
3,2023,10,4,13,0,06,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,1,06,1,210
4,2023,10,4,59,9,11,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,863
5,2023,10,4,35,0,07,,2,1,6,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,3,250
6,2023,10,4,47,0,11,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,11,,141
7,2023,10,1,35,4,09,,2,3,4,1,,,2,2,14,02,07,,,,450,500,1,450,500,0,,0,50,50,,8,,2564,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,689
8,2023,10,4,35,0,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,264
9,2023,10,4,35,0,12,,1,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,02,,1202
10,2023,10,1,47,0,01,2,2,6,1,1,,,1,3,17,04,18,,,,160,80,2,160,80,0,,0,0,0,4,4,,2216,1,1,4,4,,,,,,,,,,,,,,,,,2,14,,165
11,2023,10,1,24,0,12,,1,3,4,1,,,6,3,18,06,28,,,,400,500,1,400,500,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,01,,1031
12,2023,10,1,24,1,12,,1,1,4,1,,,1,3,21,02,09,,,,150,80,2,150,80,0,,0,0,0,5,9,,2100,1,1,2,3,,,,,,,,,,,,,,,,,,05,,229
13,2023,10,3,59,0,10,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,7,2,,,111,2,,,1,,,,2,,,1,10,4,321
14,2023,10,1,59,0,09,,1,1,4,1,,,2,3,13,01,03,,,,400,320,1,400,320,80,3,0,0,0,,240,,11538,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,116
15,2023,10,1,48,0,07,,2,1,2,1,,,2,3,09,02,08,,,,400,400,1,400,400,100,3,100,0,100,,40,,3700,3,1,2,3,,,,,,,,,,,,,,,,,1,03,1,95
16,2023,10,4,48,7,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,11,,594
17,2023,10,4,24,0,11,,2,2,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,11,,294
18,2023,10,4,35,3,12,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,421
19,2023,10,1,35,0,05,,1,1,4,1,,,2,3,06,08,36,,,,500,500,1,500,500,120,3,0,0,0,,74,,3600,1,1,1,3,,,,,,,,,,,,,,,,,1,03,2,280
20,2023,10,1,24,0,08,,1,2,3,2,,,3,3,06,01,04,,,,600,600,1,990,950,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,1,04,4,548
21,2023,10,1,48,7,03,6,2,6,6,1,,,2,2,18,07,34,,,,300,400,1,300,400,0,,0,0,0,,9,,1731,3,1,4,4,,,,,,,,,,,,,,,,,1,18,,745
22,2023,10,1,10,0,08,,2,1,5,1,,,2,3,18,01,02,,,,350,350,1,350,350,0,,0,0,0,,8,,3297,3,1,1,3,,,,,,,,,,,,,,,,,2,02,,51
23,2023,10,4,35,4,10,,2,6,4,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,02,,190
24,2023,10,4,48,8,12,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,469
25,2023,10,1,13,0,07,,1,1,6,1,,,2,2,10,01,03,,,,400,400,1,400,400,0,,0,0,0,,235,,5700,3,1,1,4,,,,,,,,,,,,,,,,,1,03,3,66
26,2023,10,2,12,0,02,4,1,6,5,1,,,2,3,04,03,12,0,2,1,720,0,1,720,0,,,,,,,5,,3500,1,1,4,4,,,,,,,,,,,,,,,,,1,04,,81
27,2023,10,1,24,1,03,5,1,2,5,1,,,2,3,14,02,05,,,,400,320,1,400,320,80,3,0,0,0,,61,,8654,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,380
28,2023,10,4,35,3,11,,1,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,01,,420
29,2023,10,1,35,4,07,,2,5,6,1,,,2,2,12,07,32,,,,400,320,1,400,320,80,3,0,0,0,,122,,3462,3,1,4,4,,,,,,,,,,,,,,,,,3,18,,508
30,2023,10,1,24,0,09,,2,1,5,1,,,1,3,21,03,10,,,,370,370,1,370,370,0,,0,0,0,,240,,5509,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,186
