REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2024,04,4,35,0,12,,1,3,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,01,,191
2,2024,04,1,24,2,12,,1,1,4,1,,,2,2,11,08,36,,,,300,300,1,300,300,0,,0,0,0,,122,,2000,3,1,1,1,,,,,,,,,,,,,,,,,,05,,183
3,2024,04,3,48,0,12,,2,5,4,,1,2,2,3,10,07,33,,,,,,,,,,,,,,,,2,,,,,,19,2,1,4,10,5,2,1,1,1,1,,,1,,,,01,,324
4,2024,04,4,35,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,376
5,2024,04,1,35,0,10,,2,1,4,1,,,1,3,17,04,18,,,,300,300,1,300,300,0,,0,0,0,,221,,2850,1,1,3,3,,,,,,,,,,,,,,,,,1,08,,975
6,2024,04,4,46,6,10,,1,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,1,01,,325
7,2024,04,1,10,0,05,,2,1,2,1,,,2,3,09,07,31,,,,400,440,1,400,440,0,,40,0,40,,71,,2260,3,1,1,2,,,,,,,,,,,,,,,,,1,02,,199
8,2024,04,4,48,8,07,,2,1,2,,1,2,2,2,14,02,09,,,,,,,,,,,,,,,,2,,,,,,,,,4,09,2,,,,,,,,,,,1,06,2,684
9,2024,04,4,24,2,11,,2,5,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,253
10,2024,04,1,35,0,04,,2,1,5,1,,,2,1,10,01,03,,,,400,600,1,400,600,0,,0,200,200,,122,,5048,3,1,2,4,,,,,,,,,,,,,,,,,1,03,1,268
11,2024,04,4,24,0,10,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,1,08,,323
12,2024,04,1,12,0,09,,2,4,4,2,,,6,3,16,06,27,,,,120,120,2,220,210,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,1,01,,218
13,2024,04,1,46,0,02,4,2,6,4,1,,,1,1,17,04,18,,,,320,320,1,320,320,0,,0,0,0,,32,,1921,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,82
14,2024,04,4,35,0,10,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,11,,284
15,2024,04,4,59,9,11,,2,1,5,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,256
16,2024,04,1,46,6,03,5,2,6,5,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,36,,2404,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,237
17,2024,04,1,46,6,10,,1,1,4,1,,,2,3,11,08,38,,,,80,80,2,80,80,0,,0,0,0,5,232,,2500,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,188
18,2024,04,1,46,6,07,,2,6,2,1,,,2,3,10,07,33,,,,300,250,1,300,250,0,,0,0,0,,5,,1575,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,124
19,2024,04,2,47,0,04,,2,1,4,1,,,2,3,12,02,09,2,52,2,360,0,1,360,0,,,,,,,52,,2300,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,124
20,2024,04,1,24,2,03,5,1,2,4,1,,,1,3,21,05,23,,,,420,420,1,420,420,0,,0,0,0,,158,,4400,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,1796
21,2024,04,1,48,0,05,,1,5,4,1,,,2,3,04,04,17,,,,400,400,1,400,400,0,,0,0,0,,167,,5625,3,1,4,4,,,,,,,,,,,,,,,,,3,01,,91
22,2024,04,2,24,0,09,,1,2,4,1,,,2,3,18,06,28,1,60,2,400,0,1,400,0,,,,,,,240,,3664,1,1,1,4,,,,,,,,,,,,,,,,,1,03,1,113
23,2024,04,1,59,9,03,5,2,6,5,1,,,2,3,20,07,32,,,,300,400,1,300,400,0,,0,0,0,,16,,2000,3,4,1,1,,,,,,,,,,,,,,,,,1,01,,458
24,2024,04,1,59,9,02,4,1,6,5,1,,,2,2,14,03,11,,,,400,380,1,400,380,20,1,0,0,0,,9,,3558,3,1,2,2,,,,,,,,,,,,,,,,,1,18,,314
25,2024,04,1,35,4,08,,2,1,5,1,,,2,3,08,02,06,,,,400,430,1,400,430,0,,0,30,30,,2,,4327,3,3,4,4,,,,,,,,,,,,,,,,,1,03,2,299
26,2024,04,1,35,0,10,,2,6,2,1,,,2,2,15,07,34,,,,240,240,2,240,240,0,,0,0,0,7,7,,1700,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,310
27,2024,04,4,35,0,10,,2,1,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,1,11,,318
28,2024,04,1,24,2,06,,1,6,4,2,,,2,3,18,07,34,,,,410,420,1,770,780,0,,10,0,10,,24,,1900,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,1257
29,2024,04,4,59,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,161
30,2024,04,4,48,8,12,,1,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,11,,409
31,2024,04,1,59,0,08,,1,1,4,1,,,2,3,11,08,35,,,,400,400,1,400,400,0,,0,0,0,,144,,3700,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,319
32,2024,04,1,12,0,09,,1,1,5,1,,,3,3,14,05,19,,,,500,500,1,500,500,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,2,143
33,2024,04,1,24,0,05,,1,2,4,1,,,1,3,16,05,20,,,,290,315,2,290,315,0,,25,0,25,7,56,,3250,1,1,3,3,,,,,,,,,,,,,,,,,1,03,1,147
34,2024,04,1,46,6,03,6,1,6,5,1,,,2,3,13,02,08,,,,400,400,1,400,400,0,,0,0,0,,22,,3385,3,1,3,4,,,,,,,,,,,,,,,,,1,18,,235
35,2024,04,2,10,0,06,,2,1,4,1,,,2,3,04,01,04,3,1,1,375,0,1,375,0,,,,,,,28,,4400,3,1,2,3,,,,,,,,,,,,,,,,,1,03,2,38
36,2024,04,4,35,4,05,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,1,06,1,217
37,2024,04,1,35,0,12,,1,1,6,1,,,1,3,16,05,20,,,,375,375,1,375,375,0,,0,0,0,,240,,17436,1,1,4,4,,,,,,,,,,,,,,,,,,05,,183
38,2024,04,4,10,0,12,,1,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,01,,52
39,2024,04,1,35,0,04,,1,6,2,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,142,,5000,1,1,2,2,,,,,,,,,,,,,,,,,1,11,,299
40,2024,04,1,35,0,11,,1,1,4,2,,,2,2,10,03,13,,,,330,120,1,540,330,0,,0,0,0,,132,,1800,3,1,1,1,,,,,,,,,,,,,,,,,,02,,183
41,2024,04,4,47,0,10,,1,2,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,1,11,,117
42,2024,04,3,35,4,01,2,2,6,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,30,5,2,,,,2,,1,1,1,,,3,,,2,14,,1412
43,2024,04,2,11,0,08,,2,1,4,1,,,1,3,17,04,18,1,28,1,400,0,1,400,0,,,,,,,67,,2450,1,1,3,3,,,,,,,,,,,,,,,,,1,08,,67
44,2024,04,1,47,0,08,,1,1,2,1,,,2,3,06,07,32,,,,400,400,1,400,400,0,,0,0,0,,142,,4375,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,131
45,2024,04,1,11,0,03,5,1,6,4,1,,,1,3,21,08,35,,,,840,840,1,840,840,0,,0,0,0,,37,,4500,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,82
46,2024,04,1,47,0,03,5,2,6,2,1,,,6,3,14,06,29,,,,200,150,2,200,150,,,,,,7,48,,,,,,,,,,,,,,,,,,,,,,,1,18,,201
47,2024,04,4,35,0,01,1,2,6,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,2,03,,144
48,2024,04,4,59,0,11,,2,1,5,,1,2,1,3,21,02,06,,,,,,,,,,,,,,,,6,,,,,,,,,4,10,9,,,,,,,,,,,,11,,475
