,REF_DATE,Employment Rate (%),Unemployment Rate (%),Labour Force Participation Rate (%),Unemployed,Average Hourly Wage,combined_industries,Job Vacancies (#),Payroll Employees (#),Job Vacancy Rate (%),All-items,Inflation_Rate_MoM,Market_Tightness
0,2024-01-01,60.58503970695502,6.1414399410111535,64.5492959500744,1311310,34.74919687418325,"Total, all industries",662905.0,17182760.0,3.7,159.3,-0.12539184952977678,0.5055288223227155
1,2024-02-01,60.77971475361183,6.046496819799581,64.69127035852817,1297139,34.81955243890699,"Total, all industries",659070.0,17235150.0,3.7,159.5,0.12554927809165228,0.5080951231903443
2,2024-03-01,60.732046063502764,6.442295264087125,64.91399744674399,1390601,34.811201665812625,"Total, all industries",602470.0,17241295.0,3.4,159.9,0.25078369905957576,0.43324433104823024
3,2024-04-01,61.06361107904079,6.227194133861063,65.1186775473151,1352940,34.947331512661506,"Total, all industries",592915.0,17266410.0,3.3,160.2,0.18761726078797558,0.4382419028190459
4,2024-05-01,61.91672481513747,6.291218660972431,66.07355674718455,1390949,34.93944960707799,"Total, all industries",571315.0,17269645.0,3.2,160.6,0.24968789013732895,0.41073756119023774
5,2024-06-01,62.11220770252278,6.172860956103962,66.19855229036051,1371396,34.90588480420962,"Total, all industries",552890.0,17316575.0,3.1,160.8,0.12453300124533051,0.4031585333485004
6,2024-07-01,61.49813148797145,6.756267302712896,65.95417161990204,1501057,34.97103275380148,"Total, all industries",545695.0,17257555.0,3.1,161.2,0.24875621890545485,0.3635404918001115
7,2024-08-01,61.24990568297206,7.4761610278135135,66.1990535232594,1671938,35.15973404559532,"Total, all industries",529300.0,17273205.0,3.0,161.3,0.062034739454097654,0.31657872480917354
8,2024-09-01,60.919827684998396,6.017633335055442,64.82048691344725,1322025,35.590512045378006,"Total, all industries",528720.0,17317010.0,3.0,161.3,0.0,0.3999319226187099
9,2024-10-01,60.85772208102742,5.941248043865983,64.70181755059807,1306127,35.764032838858114,"Total, all industries",515655.0,17268810.0,2.9,161.8,0.309981401115933,0.39479698375425976
10,2024-11-01,60.654309938821214,6.486940665132454,64.86186033291874,1432989,35.68234268617806,"Total, all industries",520635.0,17301165.0,2.9,162.0,0.12360939431395046,0.36332100246408033
11,2024-12-01,60.57720349663727,6.175220072188507,64.56418394292551,1360544,35.77372413269995,"Total, all industries",536095.0,17281145.0,3.0,162.4,0.24691358024691024,0.39402988804478206
