REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2024,12,1,24,0,01,2,1,6,3,1,,,7,3,01,09,40,,,,160,140,2,160,140,,,,,,4,108,,,,,,,,,,,,,,,,,,,,,,,2,04,,402
2,2024,12,1,59,0,07,,1,1,4,1,,,2,3,06,01,04,,,,400,400,1,400,400,0,,0,0,0,,9,,10000,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,84
3,2024,12,4,11,0,09,,1,1,4,,1,2,2,3,18,09,40,,,,,,,,,,,,,,,,7,,,,,,,,,4,09,3,,,,,,,,,,,1,11,,56
4,2024,12,1,35,0,06,,1,1,2,1,,,2,3,18,03,13,,,,390,390,1,390,390,0,,0,0,0,,218,,2300,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,292
5,2024,12,1,59,0,06,,1,1,2,1,,,2,2,20,08,35,,,,400,400,1,400,400,0,,0,0,0,,18,,2700,3,1,1,1,,,,,,,,,,,,,,,,,1,03,3,142
6,2024,12,1,24,2,08,,2,1,4,1,,,2,3,15,02,07,,,,300,150,1,300,150,150,3,0,0,0,,172,,5128,3,1,1,4,,,,,,,,,,,,,,,,,1,04,4,334
7,2024,12,1,35,3,06,,1,1,5,1,,,2,2,13,01,03,,,,600,600,1,600,600,0,,0,0,0,,68,,3173,3,1,1,4,,,,,,,,,,,,,,,,,1,03,2,504
8,2024,12,1,35,5,04,,1,2,5,1,,,2,3,08,10,42,,,,420,480,1,420,480,0,,0,15,15,,104,,3000,1,1,3,3,,,,,,,,,,,,,,,,,1,02,,396
9,2024,12,1,48,0,03,5,2,6,4,1,,,2,3,10,07,33,,,,200,160,2,200,160,0,,0,0,0,3,101,,1500,3,4,2,4,,,,,,,,,,,,,,,,,1,04,,115
10,2024,12,4,13,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,1,05,,105
11,2024,12,1,13,0,05,,1,1,4,2,,,2,3,17,07,34,,,,300,300,1,400,400,0,,0,0,0,,3,,1600,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,156
12,2024,12,1,35,0,12,,1,5,4,1,,,2,3,10,02,09,,,,150,150,2,150,150,0,,0,0,0,5,70,,1720,3,1,1,4,,,,,,,,,,,,,,,,,,01,,122
13,2024,12,4,12,0,11,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,05,,171
14,2024,12,4,12,0,02,4,2,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,2,15,,118
15,2024,12,1,24,2,06,,1,4,0,1,,,2,1,15,07,34,,,,375,425,1,375,425,0,,50,0,50,,115,,1997,3,1,3,3,,,,,,,,,,,,,,,,,3,18,,337
16,2024,12,4,12,0,11,,1,5,4,,1,2,6,3,06,08,38,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,6,,,,,,,,,,,,01,,133
17,2024,12,2,35,4,09,,1,1,5,1,,,2,3,20,08,35,3,1,2,240,0,2,240,0,,,,,,5,165,,3300,3,1,1,1,,,,,,,,,,,,,,,,,1,07,4,296
18,2024,12,1,24,0,11,,2,2,2,1,,,1,3,21,02,08,,,,225,225,2,225,225,0,,0,0,0,3,186,,3222,1,3,3,4,,,,,,,,,,,,,,,,,,08,,200
19,2024,12,4,24,2,10,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,1,08,,224
20,2024,12,2,59,0,04,,1,6,3,2,,,2,3,08,07,34,3,1,1,20,0,2,180,0,,,,,,1,14,,1750,3,4,1,1,,,,,,,,,,,,,,,,,1,02,,429
21,2024,12,1,10,0,02,4,2,6,2,1,,,2,3,10,07,33,,,,200,250,2,200,250,0,,0,0,0,4,1,,2000,3,4,1,1,,,,,,,,,,,,,,,,,1,04,,270
22,2024,12,4,35,0,12,,2,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,11,,86
