REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2024,02,4,13,0,12,,2,4,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,84
2,2024,02,1,24,0,02,4,1,6,4,1,,,2,2,19,07,33,,,,220,80,2,220,80,0,,0,0,0,0,5,,2700,3,4,1,1,,,,,,,,,,,,,,,,,1,04,,147
3,2024,02,1,47,0,08,,2,1,4,1,,,2,3,13,02,09,,,,300,370,1,300,370,0,,0,0,0,,17,,1900,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,152
4,2024,02,4,35,4,01,2,1,6,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,04,,230
5,2024,02,1,10,0,05,,2,1,4,1,,,1,3,21,07,33,,,,480,240,1,480,240,240,1,0,0,0,,179,,2078,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,27
6,2024,02,1,35,0,08,,1,1,4,1,,,3,3,06,01,04,,,,400,600,1,400,600,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,1,03,3,686
7,2024,02,1,24,0,06,,2,2,4,1,,,2,3,17,05,24,,,,320,320,1,320,320,0,,0,0,0,,32,,2800,1,1,2,2,,,,,,,,,,,,,,,,,1,03,2,540
8,2024,02,1,46,6,09,,2,6,2,1,,,2,2,20,07,32,,,,360,360,1,360,360,0,,0,0,0,,240,,2000,3,1,1,3,,,,,,,,,,,,,,,,,1,18,,83
9,2024,02,1,35,3,09,,1,2,2,1,,,2,3,09,08,36,,,,400,430,1,400,430,0,,30,0,30,,240,,3150,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,351
10,2024,02,1,48,7,04,,2,6,3,1,,,2,1,19,07,34,,,,350,350,1,350,350,0,,0,0,0,,144,,3000,3,1,2,2,,,,,,,,,,,,,,,,,2,08,,689
11,2024,02,4,35,0,01,1,1,6,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,89
12,2024,02,1,24,0,05,,1,1,6,1,,,1,3,17,03,13,,,,350,350,1,350,350,0,,0,0,0,,174,,3500,1,1,1,3,,,,,,,,,,,,,,,,,1,06,1,92
13,2024,02,3,12,0,07,,2,6,4,,1,1,2,2,03,09,39,,,,,,,,,,,,,,,,15,,,,,,33,6,1,4,09,8,2,,,1,1,,,2,,,1,16,3,120
14,2024,02,2,59,9,10,,1,1,6,1,,,1,2,17,05,22,3,78,1,375,0,1,375,0,,,,,,,117,,5128,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,275
15,2024,02,1,59,0,04,,1,2,1,1,,,2,3,06,08,35,,,,400,200,1,400,200,200,1,0,0,0,,20,,3125,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,592
16,2024,02,1,46,6,09,,2,1,5,1,,,2,2,16,05,24,,,,325,300,1,325,300,25,0,0,0,0,,240,,3400,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,201
17,2024,02,2,24,2,07,,2,2,4,1,,,1,2,17,04,18,1,48,1,400,0,1,400,0,,,,,,,48,,2563,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,235
18,2024,02,4,24,0,09,,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,16,3,155
19,2024,02,1,59,0,09,,2,4,5,1,,,1,3,16,05,20,,,,240,240,2,240,240,0,,0,0,0,5,240,,3000,1,3,2,2,,,,,,,,,,,,,,,,,1,18,,199
20,2024,02,4,13,0,12,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,11,,84
21,2024,02,4,59,0,04,,1,2,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,385
22,2024,02,4,24,0,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,11,,144
23,2024,02,1,46,0,03,6,2,1,2,1,,,1,3,17,07,34,,,,400,400,1,400,400,0,,0,0,0,,64,,1865,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,223
24,2024,02,4,46,0,11,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,01,,46
25,2024,02,1,24,0,08,,1,2,4,1,,,1,3,21,01,02,,,,375,375,1,375,375,0,,0,0,0,,240,,6470,1,1,4,4,,,,,,,,,,,,,,,,,1,06,3,139
26,2024,02,1,35,0,05,,1,2,4,1,,,6,3,06,08,35,,,,140,120,2,140,120,,,,,,7,96,,,,,,,,,,,,,,,,,,,,,,,1,03,2,307
27,2024,02,1,35,3,10,,2,1,4,1,,,1,3,21,02,07,,,,225,225,2,225,225,0,,0,0,0,5,53,,3590,3,4,4,4,,,,,,,,,,,,,,,,,1,08,,386
28,2024,02,2,59,0,07,,2,1,4,1,,,1,3,17,02,07,1,19,2,375,0,1,375,0,,,,,,,132,,2561,1,1,3,4,,,,,,,,,,,,,,,,,1,04,4,290
29,2024,02,4,47,0,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,97
30,2024,02,4,59,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,154
31,2024,02,1,48,0,04,,2,1,2,1,,,2,3,01,09,40,,,,400,400,1,400,400,0,,0,0,0,,71,,3000,3,1,2,2,,,,,,,,,,,,,,,,,1,03,2,93
32,2024,02,1,35,0,03,6,2,1,3,1,,,2,3,17,05,22,,,,210,260,2,210,260,75,1,0,0,0,3,141,,4050,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,196
33,2024,02,4,35,0,03,6,2,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,1,,1,05,,276
34,2024,02,4,59,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,18,,206
35,2024,02,3,48,8,02,3,1,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,,,,2,,,1,1,1,,3,,,3,17,,694
36,2024,02,1,59,9,10,,1,1,5,1,,,6,1,20,07,34,,,,300,600,1,300,600,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,1,02,,118
37,2024,02,1,35,4,05,,2,1,6,1,,,2,2,12,02,05,,,,375,375,1,375,375,0,,0,0,0,,5,,3467,3,1,4,4,,,,,,,,,,,,,,,,,1,03,1,221
38,2024,02,1,24,0,08,,1,1,4,1,,,1,3,11,08,37,,,,400,400,1,400,400,0,,0,0,0,,4,,2375,3,2,1,1,,,,,,,,,,,,,,,,,1,02,,80
39,2024,02,4,24,1,11,,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,11,,316
40,2024,02,3,13,0,01,2,1,6,3,,1,1,2,3,06,08,35,,,,,,,,,,,,,,,,12,,,,,,28,1,1,4,12,7,2,,,,,,,,,2,2,03,,122
41,2024,02,4,48,8,12,,2,1,6,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,476
42,2024,02,1,24,0,04,,1,2,4,1,,,2,3,06,08,35,,,,400,380,1,400,380,80,2,60,0,60,,9,,4600,3,1,4,4,,,,,,,,,,,,,,,,,1,06,1,171
43,2024,02,4,10,0,11,,1,1,5,,1,1,2,3,04,03,10,,,,,,,,,,,,,,,,240,,,,,,,,,4,12,1,,,,,,,,,,,,11,,37
44,2024,02,4,35,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,456
45,2024,02,3,24,2,02,4,1,6,4,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,,,,2,,,,1,,,0,,,1,01,,306
46,2024,02,1,47,0,12,,2,2,2,1,,,2,3,10,07,33,,,,200,200,2,200,200,0,,0,0,0,6,41,,1500,3,1,1,1,,,,,,,,,,,,,,,,,,02,,105
47,2024,02,1,35,5,09,,2,6,2,1,,,6,3,14,02,06,,,,400,400,1,400,400,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,1,01,,242
48,2024,02,4,59,9,01,1,2,6,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,,339
49,2024,02,1,35,4,06,,2,1,5,1,,,6,2,14,03,10,,,,200,200,2,200,200,,,,,,2,86,,,,,,,,,,,,,,,,,,,,,,,1,03,2,348
50,2024,02,1,46,6,08,,1,6,4,1,,,1,3,16,03,11,,,,350,350,1,350,350,0,,0,0,0,,193,,4451,1,1,3,4,,,,,,,,,,,,,,,,,1,14,3,62
51,2024,02,1,35,0,04,,1,6,4,1,,,2,3,07,10,41,,,,420,480,1,420,480,0,,0,0,0,,116,,3923,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,468
52,2024,02,3,59,9,04,,2,6,2,,1,1,2,2,10,07,31,,,,,,,,,,,,,,,,45,,,,,,32,2,1,4,12,9,2,,1,,1,1,,1,,,1,18,,314
53,2024,02,4,24,2,07,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,1,,1,06,3,196
54,2024,02,1,10,0,08,,2,1,4,1,,,2,3,12,07,33,,,,375,375,1,375,375,0,,0,0,0,,240,,2750,3,1,1,2,,,,,,,,,,,,,,,,,1,04,4,67
55,2024,02,1,47,0,09,,1,1,2,1,,,2,3,06,07,34,,,,350,350,1,350,350,0,,10,0,10,,92,,1900,3,1,3,3,,,,,,,,,,,,,,,,,1,03,2,121
56,2024,02,4,35,5,01,2,2,1,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,168
57,2024,02,3,35,4,04,,1,6,4,,1,1,2,3,07,10,42,,,,,,,,,,,,,,,,97,,,,,,7,6,1,0,06,7,2,1,,,,,,2,,,1,18,,1158
58,2024,02,1,35,4,04,,1,6,4,1,,,2,3,15,08,35,,,,400,375,1,400,375,80,3,0,0,0,,132,,4500,1,1,2,3,,,,,,,,,,,,,,,,,1,02,,1471
59,2024,02,1,35,5,07,,2,1,5,2,,,1,3,18,02,09,,,,350,350,1,470,470,0,,0,0,0,,14,,3100,1,1,2,3,,,,,,,,,,,,,,,,,1,14,3,214
60,2024,02,1,10,0,07,,1,1,6,1,,,1,3,21,03,11,,,,375,395,1,375,395,0,,0,20,20,,67,,5433,3,1,3,3,,,,,,,,,,,,,,,,,1,03,2,110
61,2024,02,4,24,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,08,,121
